,video_id,sequence,video_frame,sequence_frame,image_id,annotations,clamped_annotations
16,0,40258,16,16,0-16,"[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]"
17,0,40258,17,17,0-17,"[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]"
18,0,40258,18,18,0-18,"[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]"
19,0,40258,19,19,0-19,"[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]"
20,0,40258,20,20,0-20,"[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]"
21,0,40258,21,21,0-21,"[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]"
22,0,40258,22,22,0-22,"[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]","[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]"
23,0,40258,23,23,0-23,"[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]","[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]"
24,0,40258,24,24,0-24,"[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]","[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]"
25,0,40258,25,25,0-25,"[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]","[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]"
26,0,40258,26,26,0-26,"[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]","[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]"
27,0,40258,27,27,0-27,"[{'x': 522, 'y': 191, 'width': 64, 'height': 52}]","[{'x': 522, 'y': 191, 'width': 64, 'height': 52}]"
28,0,40258,28,28,0-28,"[{'x': 519, 'y': 187, 'width': 66, 'height': 52}]","[{'x': 519, 'y': 187, 'width': 66, 'height': 52}]"
29,0,40258,29,29,0-29,"[{'x': 519, 'y': 181, 'width': 68, 'height': 53}]","[{'x': 519, 'y': 181, 'width': 68, 'height': 53}]"
30,0,40258,30,30,0-30,"[{'x': 518, 'y': 176, 'width': 69, 'height': 54}]","[{'x': 518, 'y': 176, 'width': 69, 'height': 54}]"
