,video_id,sequence,video_frame,sequence_frame,image_id,annotations,clamped_annotations,sub_sequence_id,n_annotations,empty_sub_sequence,is_train
0,0,40258,0,0,0-0,[],[],40258000,0,False,True
1,0,40258,1,1,0-1,[],[],40258000,0,False,True
2,0,40258,2,2,0-2,[],[],40258000,0,False,True
3,0,40258,3,3,0-3,[],[],40258000,0,False,True
4,0,40258,4,4,0-4,[],[],40258000,0,False,True
5,0,40258,5,5,0-5,[],[],40258000,0,False,True
6,0,40258,6,6,0-6,[],[],40258000,0,False,True
7,0,40258,7,7,0-7,[],[],40258000,0,False,True
8,0,40258,8,8,0-8,[],[],40258000,0,False,True
9,0,40258,9,9,0-9,[],[],40258000,0,False,True
10,0,40258,10,10,0-10,[],[],40258000,0,False,True
11,0,40258,11,11,0-11,[],[],40258000,0,False,True
12,0,40258,12,12,0-12,[],[],40258000,0,False,True
13,0,40258,13,13,0-13,[],[],40258000,0,False,True
14,0,40258,14,14,0-14,[],[],40258000,0,False,True
15,0,40258,15,15,0-15,[],[],40258000,0,False,True
16,0,40258,16,16,0-16,"[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]",40258000,1,False,True
17,0,40258,17,17,0-17,"[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]",40258000,1,False,True
18,0,40258,18,18,0-18,"[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]","[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]",40258000,1,False,True
19,0,40258,19,19,0-19,"[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]",40258000,1,False,True
20,0,40258,20,20,0-20,"[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]",40258000,1,False,True
21,0,40258,21,21,0-21,"[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]","[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]",40258000,1,False,True
22,0,40258,22,22,0-22,"[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]","[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]",40258000,1,False,True
23,0,40258,23,23,0-23,"[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]","[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]",40258000,1,False,True
24,0,40258,24,24,0-24,"[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]","[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]",40258000,1,False,True
25,0,40258,25,25,0-25,"[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]","[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]",40258000,1,False,True
26,0,40258,26,26,0-26,"[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]","[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]",40258000,1,False,True
27,0,40258,27,27,0-27,"[{'x': 522, 'y': 191, 'width': 64, 'height': 52}]","[{'x': 522, 'y': 191, 'width': 64, 'height': 52}]",40258000,1,False,True
