video_id,sequence,video_frame,sequence_frame,image_id,annotations
1,18048,6709,0,1-6709,"[{'x': 707, 'y': 275, 'width': 36, 'height': 34}]"
1,18048,6710,1,1-6710,"[{'x': 705, 'y': 291, 'width': 36, 'height': 34}]"
1,18048,6711,2,1-6711,"[{'x': 702, 'y': 307, 'width': 36, 'height': 35}]"
1,18048,6712,3,1-6712,"[{'x': 700, 'y': 324, 'width': 37, 'height': 35}]"
1,18048,6713,4,1-6713,"[{'x': 697, 'y': 340, 'width': 37, 'height': 36}]"
1,18048,6714,5,1-6714,"[{'x': 695, 'y': 356, 'width': 37, 'height': 36}]"
1,18048,6715,6,1-6715,"[{'x': 687, 'y': 360, 'width': 37, 'height': 36}]"
1,18048,6716,7,1-6716,"[{'x': 676, 'y': 361, 'width': 37, 'height': 36}]"
1,18048,6717,8,1-6717,"[{'x': 666, 'y': 362, 'width': 37, 'height': 36}]"
1,18048,6718,9,1-6718,"[{'x': 656, 'y': 356, 'width': 37, 'height': 36}]"
1,18048,6719,10,1-6719,"[{'x': 644, 'y': 355, 'width': 38, 'height': 37}]"
1,18048,6720,11,1-6720,"[{'x': 631, 'y': 351, 'width': 38, 'height': 38}]"
1,18048,6721,12,1-6721,"[{'x': 618, 'y': 347, 'width': 39, 'height': 39}]"
1,18048,6722,13,1-6722,"[{'x': 606, 'y': 343, 'width': 40, 'height': 40}]"
1,18048,6723,14,1-6723,"[{'x': 593, 'y': 339, 'width': 40, 'height': 41}]"
1,18048,6724,15,1-6724,"[{'x': 584, 'y': 340, 'width': 40, 'height': 41}]"
1,18048,6725,16,1-6725,"[{'x': 575, 'y': 342, 'width': 40, 'height': 41}]"
1,18048,6726,17,1-6726,"[{'x': 565, 'y': 344, 'width': 40, 'height': 41}]"
1,18048,6727,18,1-6727,"[{'x': 556, 'y': 345, 'width': 40, 'height': 41}]"
1,18048,6728,19,1-6728,"[{'x': 553, 'y': 349, 'width': 40, 'height': 41}]"
1,18048,6729,20,1-6729,"[{'x': 549, 'y': 353, 'width': 40, 'height': 41}]"
1,18048,6730,21,1-6730,"[{'x': 545, 'y': 357, 'width': 40, 'height': 41}]"
1,18048,6731,22,1-6731,"[{'x': 541, 'y': 361, 'width': 40, 'height': 41}]"
1,18048,6732,23,1-6732,"[{'x': 538, 'y': 364, 'width': 40, 'height': 41}]"
1,18048,6733,24,1-6733,"[{'x': 536, 'y': 380, 'width': 40, 'height': 41}]"
1,18048,6734,25,1-6734,"[{'x': 533, 'y': 396, 'width': 40, 'height': 41}]"
1,18048,6735,26,1-6735,"[{'x': 531, 'y': 411, 'width': 40, 'height': 41}]"
1,18048,6736,27,1-6736,"[{'x': 529, 'y': 427, 'width': 40, 'height': 41}]"
1,18048,6737,28,1-6737,"[{'x': 527, 'y': 442, 'width': 40, 'height': 41}]"
1,18048,6738,29,1-6738,"[{'x': 523, 'y': 453, 'width': 40, 'height': 41}]"
